state,created
unknown,"2016-12-16 19:33:22.148945"
unknown,"2016-12-16 19:48:11.516207"
6.0,"2016-12-16 20:00:31.001134"
5.7,"2016-12-16 20:30:31.275227"
2.7,"2016-12-16 21:00:30.894412"
6.0,"2016-12-16 21:30:30.928034"
3.5,"2016-12-16 22:00:30.942362"
4.9,"2016-12-16 22:30:31.275190"
5.7,"2016-12-16 23:00:30.929333"
6.0,"2016-12-16 23:30:30.848818"
5.2,"2016-12-17 00:00:30.952291"
4.6,"2016-12-17 00:30:30.933280"
1.4,"2016-12-17 01:00:30.882989"
6.0,"2016-12-17 01:30:30.929834"
3.5,"2016-12-17 02:00:30.994265"
6.2,"2016-12-17 02:30:30.870559"
2.7,"2016-12-17 03:00:31.284596"
1.4,"2016-12-17 03:31:00.635519"
5.2,"2016-12-17 04:00:30.954406"
5.7,"2016-12-17 04:30:30.846777"
6.0,"2016-12-17 05:30:30.879789"
5.2,"2016-12-17 06:00:30.896285"
6.2,"2016-12-17 06:30:30.863004"
4.1,"2016-12-17 07:00:30.888543"
6.0,"2016-12-17 07:30:31.312638"
5.7,"2016-12-17 08:00:30.838776"
4.1,"2016-12-17 08:30:30.862064"
4.6,"2016-12-17 09:00:31.323042"
5.7,"2016-12-17 09:30:30.862958"
3.8,"2016-12-17 10:00:30.854884"
6.0,"2016-12-17 10:30:30.915740"
4.6,"2016-12-17 11:00:30.828956"
6.0,"2016-12-17 11:30:30.892354"
2.7,"2016-12-17 12:00:30.858323"
6.0,"2016-12-17 12:30:30.963425"
5.4,"2016-12-17 13:00:30.873897"
6.0,"2016-12-17 13:30:30.955107"
5.2,"2016-12-17 14:00:30.907048"
3.5,"2016-12-17 14:30:31.012129"
5.7,"2016-12-17 15:00:30.951831"
6.2,"2016-12-17 15:30:30.906318"
4.1,"2016-12-17 16:00:30.892778"
6.2,"2016-12-17 16:30:30.831332"
4.1,"2016-12-17 17:00:30.854778"
6.5,"2016-12-17 17:30:30.851739"
6.0,"2016-12-17 18:00:30.844106"
5.2,"2016-12-17 19:00:30.876734"
6.0,"2016-12-17 19:30:30.944687"
5.2,"2016-12-17 20:00:30.856295"
6.0,"2016-12-17 20:30:30.954216"
4.3,"2016-12-17 21:00:30.921113"
