Date,Average Download,Trimmed Average Download,Average Upload,Trimmed Average Upload,Runs,Dropped Outliers
2016-06-01 22:16,16.81,16.79,1.85,1.86,5,True
2016-06-02 15:51,6.26,6.18,1.10,1.15,5,True
2016-06-02 16:04,6.14,5.90,1.11,1.11,5,True
2016-06-02 17:03,15.98,16.04,1.69,1.71,5,True
2016-06-02 18:03,15.91,15.93,1.69,1.68,5,True
2016-06-02 19:03,17.32,17.29,1.88,1.88,5,True
2016-06-02 20:03,17.36,17.43,1.85,1.88,5,True
2016-06-02 21:03,17.33,17.41,1.88,1.88,5,True
2016-06-02 22:03,17.67,17.68,1.88,1.88,5,True
2016-06-02 23:03,17.37,17.44,1.88,1.88,5,True
2016-06-03 00:03,17.27,17.38,1.88,1.88,5,True
2016-06-03 01:03,17.59,17.73,1.89,1.89,5,True
2016-06-03 02:03,17.58,17.65,1.86,1.88,5,True
2016-06-03 03:04,11.13,10.55,1.67,1.71,5,True
2016-06-03 04:03,17.65,17.65,1.84,1.85,5,True
2016-06-03 05:03,15.06,15.41,1.83,1.83,5,True
2016-06-03 06:03,12.68,12.62,1.75,1.76,5,True
2016-06-03 07:04,7.72,7.22,1.09,1.13,5,True
2016-06-03 08:03,5.38,5.56,0.59,0.54,5,True
2016-06-03 09:04,6.10,6.10,1.47,1.50,5,True
2016-06-03 10:03,6.63,6.71,1.29,1.35,5,True
2016-06-03 11:04,6.75,6.93,1.33,1.35,5,True
2016-06-03 12:04,7.19,7.27,1.21,1.23,5,True
2016-06-03 13:04,7.67,7.88,1.44,1.48,5,True
2016-06-03 14:04,6.94,7.26,1.23,1.18,5,True
2016-06-03 15:03,6.78,6.63,1.68,1.70,5,True
2016-06-03 16:03,5.83,5.59,1.03,1.05,5,True
2016-06-03 17:03,6.40,6.29,1.01,1.00,5,True
2016-06-03 18:04,8.52,8.58,1.46,1.51,5,True
2016-06-03 19:03,8.01,8.05,1.26,1.17,5,True
2016-06-03 20:04,6.83,6.67,1.44,1.45,5,True
2016-06-03 21:04,8.22,8.58,1.33,1.37,5,True
2016-06-03 22:04,8.01,8.14,1.67,1.67,5,True
2016-06-03 23:03,7.99,7.88,1.56,1.58,5,True
2016-06-04 00:04,8.11,8.01,1.29,1.32,5,True
2016-06-04 01:03,9.04,9.24,1.45,1.49,5,True
2016-06-04 02:03,8.69,8.94,1.51,1.53,5,True
2016-06-04 03:04,7.15,7.21,1.39,1.43,5,True
2016-06-04 04:04,8.16,8.32,1.60,1.60,5,True
2016-06-04 05:04,8.81,8.71,1.49,1.47,5,True
